State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Missouri,02/22/2020,3063,02/15/2020,27035,2749100,0.98
Missouri,02/29/2020,2732,02/22/2020,26949,2749100,0.98
Missouri,03/07/2020,2994,02/29/2020,25225,2749100,0.92
Missouri,03/14/2020,4016,03/07/2020,22381,2749100,0.81
Missouri,03/21/2020,42246,03/14/2020,21538,2749100,0.78
Missouri,03/28/2020,104291,03/21/2020,49470,2749100,1.80
Missouri,04/04/2020,91458,03/28/2020,121467,2749100,4.42
Missouri,04/11/2020,102126,04/04/2020,178710,2794254,6.40
Missouri,04/18/2020,59602,04/11/2020,227557,2794254,8.14
Missouri,04/25/2020,55299,04/18/2020,255798,2794254,9.15
Montana,01/04/2020,1555,12/28/2019,11056,453040,2.44
Montana,01/11/2020,1755,01/04/2020,11756,454298,2.59
Montana,01/18/2020,1236,01/11/2020,11254,454298,2.48
Montana,01/25/2020,922,01/18/2020,11830,454298,2.60
Montana,02/01/2020,902,01/25/2020,11527,454298,2.54
Montana,02/08/2020,935,02/01/2020,11489,454298,2.53
Montana,02/15/2020,921,02/08/2020,11479,454298,2.53
Montana,02/22/2020,795,02/15/2020,11308,454298,2.49
Montana,02/29/2020,695,02/22/2020,11296,454298,2.49
Montana,03/07/2020,714,02/29/2020,10782,454298,2.37
Montana,03/14/2020,817,03/07/2020,10112,454298,2.23
Montana,03/21/2020,15349,03/14/2020,9818,454298,2.16
Montana,03/28/2020,20763,03/21/2020,19099,454298,4.20
Montana,04/04/2020,21244,03/28/2020,36819,454298,8.10
Montana,04/11/2020,14275,04/04/2020,53482,455906,11.73
Montana,04/18/2020,11176,04/11/2020,65073,455906,14.27
Montana,04/25/2020,7052,04/18/2020,67473,455906,14.80
North Carolina,01/04/2020,3508,12/28/2019,20848,4362309,0.48
North Carolina,01/11/2020,4628,01/04/2020,21239,4381417,0.48
North Carolina,01/18/2020,4217,01/11/2020,22247,4381417,0.51
North Carolina,01/25/2020,3344,01/18/2020,22415,4381417,0.51
North Carolina,02/01/2020,3611,01/25/2020,22342,4381417,0.51
North Carolina,02/08/2020,3326,02/01/2020,22044,4381417,0.50
North Carolina,02/15/2020,3094,02/08/2020,21972,4381417,0.50
North Carolina,02/22/2020,2852,02/15/2020,21630,4381417,0.49
North Carolina,02/29/2020,1767,02/22/2020,21188,4381417,0.48
North Carolina,03/07/2020,2575,02/29/2020,20196,4381417,0.46
North Carolina,03/14/2020,3533,03/07/2020,19683,4381417,0.45
North Carolina,03/21/2020,94083,03/14/2020,20652,4381417,0.47
North Carolina,03/28/2020,172145,03/21/2020,75220,4381417,1.72
North Carolina,04/04/2020,137422,03/28/2020,245692,4381417,5.61
North Carolina,04/11/2020,140155,04/04/2020,362989,4402750,8.24
North Carolina,04/18/2020,106266,04/11/2020,468283,4402750,10.64
North Carolina,04/25/2020,98941,04/18/2020,555039,4402750,12.61
North Dakota,01/04/2020,836,12/28/2019,5785,409901,1.41
North Dakota,01/11/2020,1530,01/04/2020,6171,411624,1.50
North Dakota,01/18/2020,785,01/11/2020,6809,411624,1.65
North Dakota,01/25/2020,543,01/18/2020,7179,411624,1.74
North Dakota,02/01/2020,447,01/25/2020,6782,411624,1.65
North Dakota,02/08/2020,526,02/01/2020,6838,411624,1.66
North Dakota,02/15/2020,457,02/08/2020,6924,411624,1.68
North Dakota,02/22/2020,435,02/15/2020,6886,411624,1.67
North Dakota,02/29/2020,363,02/22/2020,6795,411624,1.65
North Dakota,03/07/2020,423,02/29/2020,6543,411624,1.59
North Dakota,03/14/2020,415,03/07/2020,6349,411624,1.54
North Dakota,03/21/2020,5662,03/14/2020,6169,411624,1.50
North Dakota,03/28/2020,11818,03/21/2020,8534,411624,2.07
North Dakota,04/04/2020,15125,03/28/2020,16036,411624,3.90
North Dakota,04/11/2020,9502,04/04/2020,24554,412797,5.95
North Dakota,04/18/2020,8065,04/11/2020,33563,412797,8.13
North Dakota,04/25/2020,6274,04/18/2020,35513,412797,8.60
Nebraska,01/04/2020,1099,12/28/2019,5165,963465,0.54
Nebraska,01/11/2020,1171,01/04/2020,5694,962725,0.59
Nebraska,01/18/2020,988,01/11/2020,4940,962725,0.51
Nebraska,01/25/2020,960,01/18/2020,5107,962725,0.53
Nebraska,02/01/2020,833,01/25/2020,5884,962725,0.61
Nebraska,02/08/2020,675,02/01/2020,5693,962725,0.59
Nebraska,02/15/2020,537,02/08/2020,5804,962725,0.60
Nebraska,02/22/2020,493,02/15/2020,5780,962725,0.60
Nebraska,02/29/2020,502,02/22/2020,6286,962725,0.65
Nebraska,03/07/2020,501,02/29/2020,5581,962725,0.58
Nebraska,03/14/2020,795,03/07/2020,5076,962725,0.53
Nebraska,03/21/2020,15700,03/14/2020,4859,962725,0.50
Nebraska,03/28/2020,24725,03/21/2020,16641,962725,1.73
Nebraska,04/04/2020,27054,03/28/2020,38921,962725,4.04
Nebraska,04/11/2020,16279,04/04/2020,60416,965476,6.26
Nebraska,04/18/2020,12222,04/11/2020,72078,965476,7.47
Nebraska,04/25/2020,8229,04/18/2020,76628,965476,7.94
New Hampshire,01/04/2020,690,12/28/2019,4468,652934,0.68
New Hampshire,01/11/2020,722,01/04/2020,4575,654468,0.70
New Hampshire,01/18/2020,613,01/11/2020,4215,654468,0.64
New Hampshire,01/25/2020,577,01/18/2020,4202,654468,0.64
New Hampshire,02/01/2020,456,01/25/2020,4033,654468,0.62
New Hampshire,02/08/2020,507,02/01/2020,4050,654468,0.62
New Hampshire,02/15/2020,424,02/08/2020,4015,654468,0.61
New Hampshire,02/22/2020,444,02/15/2020,3936,654468,0.60
New Hampshire,02/29/2020,894,02/22/2020,4048,654468,0.62
New Hampshire,03/07/2020,495,02/29/2020,4475,654468,0.68
New Hampshire,03/14/2020,642,03/07/2020,3909,654468,0.60
New Hampshire,03/21/2020,29379,03/14/2020,4024,654468,0.61
New Hampshire,03/28/2020,31378,03/21/2020,27321,654468,4.17
New Hampshire,04/04/2020,39202,03/28/2020,52166,654468,7.97
New Hampshire,04/11/2020,25273,04/04/2020,79979,649845,12.31
New Hampshire,04/18/2020,20414,04/11/2020,93783,649845,14.43
New Hampshire,04/25/2020,15001,04/18/2020,106841,649845,16.44
New Jersey,01/04/2020,15325,12/28/2019,111335,4007202,2.78
New Jersey,01/11/2020,13469,01/04/2020,120461,4015146,3.00
New Jersey,01/18/2020,10728,01/11/2020,108425,4015146,2.70
New Jersey,01/25/2020,9325,01/18/2020,107082,4015146,2.67
New Jersey,02/01/2020,8304,01/25/2020,110022,4015146,2.74
New Jersey,02/08/2020,9288,02/01/2020,109931,4015146,2.74
New Jersey,02/15/2020,8550,02/08/2020,110016,4015146,2.74
New Jersey,02/22/2020,8396,02/15/2020,109265,4015146,2.72
New Jersey,02/29/2020,7773,02/22/2020,110902,4015146,2.76
New Jersey,03/07/2020,7996,02/29/2020,107646,4015146,2.68
New Jersey,03/14/2020,9467,03/07/2020,104283,4015146,2.60
New Jersey,03/21/2020,115815,03/14/2020,105840,4015146,2.64
New Jersey,03/28/2020,206253,03/21/2020,156181,4015146,3.89
New Jersey,04/04/2020,214836,03/28/2020,276119,4015146,6.88
New Jersey,04/11/2020,141420,04/04/2020,429388,4025826,10.67
New Jersey,04/18/2020,140139,04/11/2020,556005,4025826,13.81
New Jersey,04/25/2020,71966,04/18/2020,621753,4025826,15.44
New Mexico,01/04/2020,799,12/28/2019,10140,796105,1.27
New Mexico,01/11/2020,1194,01/04/2020,10310,799085,1.29
New Mexico,01/18/2020,947,01/11/2020,9920,799085,1.24
New Mexico,01/25/2020,764,01/18/2020,10137,799085,1.27
New Mexico,02/01/2020,784,01/25/2020,10066,799085,1.26
New Mexico,02/08/2020,873,02/01/2020,9965,799085,1.25
New Mexico,02/15/2020,725,02/08/2020,9987,799085,1.25
New Mexico,02/22/2020,737,02/15/2020,10051,799085,1.26
New Mexico,02/29/2020,681,02/22/2020,10039,799085,1.26
New Mexico,03/07/2020,690,02/29/2020,9845,799085,1.23
New Mexico,03/14/2020,869,03/07/2020,9566,799085,1.20
New Mexico,03/21/2020,18105,03/14/2020,9288,799085,1.16
New Mexico,03/28/2020,27849,03/21/2020,20087,799085,2.51
New Mexico,04/04/2020,26132,03/28/2020,44829,799085,5.61
New Mexico,04/11/2020,19043,04/04/2020,62686,802978,7.81
New Mexico,04/18/2020,13621,04/11/2020,80986,802978,10.09
New Mexico,04/25/2020,12093,04/18/2020,94149,802978,11.72
Nevada,01/04/2020,2264,12/28/2019,20801,1362256,1.53
Nevada,01/11/2020,2792,01/04/2020,19823,1371969,1.44
Nevada,01/18/2020,2451,01/11/2020,19328,1371969,1.41
Nevada,01/25/2020,2101,01/18/2020,19025,1371969,1.39
Nevada,02/01/2020,2286,01/25/2020,19177,1371969,1.40
Nevada,02/08/2020,2794,02/01/2020,19225,1371969,1.40
Nevada,02/15/2020,2543,02/08/2020,19585,1371969,1.43
Nevada,02/22/2020,2052,02/15/2020,19472,1371969,1.42
Nevada,02/29/2020,2324,02/22/2020,20044,1371969,1.46
Nevada,03/07/2020,2309,02/29/2020,19850,1371969,1.45
Nevada,03/14/2020,6356,03/07/2020,19475,1371969,1.42
Nevada,03/21/2020,92298,03/14/2020,19822,1371969,1.44
Nevada,03/28/2020,71942,03/21/2020,58798,1371969,4.29
Nevada,04/04/2020,79285,03/28/2020,131121,1371969,9.56
Nevada,04/11/2020,58641,04/04/2020,189007,1379654,13.70
Nevada,04/18/2020,39496,04/11/2020,231618,1379654,16.79
Nevada,04/25/2020,42541,04/18/2020,274850,1379654,19.92
New York,01/04/2020,44846,12/28/2019,181668,9351620,1.94
New York,01/11/2020,23314,01/04/2020,184283,9380736,1.96
New York,01/18/2020,17823,01/11/2020,164588,9380736,1.75
New York,01/25/2020,15022,01/18/2020,164044,9380736,1.75
New York,02/01/2020,16545,01/25/2020,165715,9380736,1.77
New York,02/08/2020,15010,02/01/2020,163393,9380736,1.74
New York,02/15/2020,14333,02/08/2020,164111,9380736,1.75
New York,02/22/2020,14144,02/15/2020,163220,9380736,1.74
New York,02/29/2020,31208,02/22/2020,182691,9380736,1.95
New York,03/07/2020,14035,02/29/2020,161892,9380736,1.73
New York,03/14/2020,14272,03/07/2020,158268,9380736,1.69
New York,03/21/2020,79999,03/14/2020,167214,9380736,1.78
New York,03/28/2020,366595,03/21/2020,314710,9380736,3.35
New York,04/04/2020,344451,03/28/2020,712544,9380736,7.60
New York,04/11/2020,394701,04/04/2020,1121191,9408510,11.92
New York,04/18/2020,205184,04/11/2020,1354496,9408510,14.40
New York,04/25/2020,219413,04/18/2020,1616809,9408510,17.18
Ohio,01/04/2020,10759,12/28/2019,73287,5327431,1.38
Ohio,01/11/2020,9957,01/04/2020,78391,5338723,1.47
Ohio,01/18/2020,7865,01/11/2020,72855,5338723,1.36
Ohio,01/25/2020,8086,01/18/2020,72002,5338723,1.35
Ohio,02/01/2020,7329,01/25/2020,72622,5338723,1.36
Ohio,02/08/2020,6825,02/01/2020,71442,5338723,1.34
Ohio,02/15/2020,6532,02/08/2020,71214,5338723,1.33
Ohio,02/22/2020,6208,02/15/2020,70924,5338723,1.33
Ohio,02/29/2020,9916,02/22/2020,70655,5338723,1.32
Ohio,03/07/2020,6545,02/29/2020,73123,5338723,1.37
Ohio,03/14/2020,7046,03/07/2020,68516,5338723,1.28
Ohio,03/21/2020,196309,03/14/2020,68323,5338723,1.28
Ohio,03/28/2020,274288,03/21/2020,214273,5338723,4.01
Ohio,04/04/2020,226191,03/28/2020,450061,5338723,8.43
Ohio,04/11/2020,159317,04/04/2020,622669,5346565,11.65
Ohio,04/18/2020,109830,04/11/2020,717842,5346565,13.43
Ohio,04/25/2020,93599,04/18/2020,777214,5346565,14.54
Oklahoma,01/04/2020,2943,12/28/2019,18080,1560077,1.16
Oklahoma,01/11/2020,2034,01/04/2020,19387,1565634,1.24
Oklahoma,01/18/2020,1981,01/11/2020,17467,1565634,1.12
Oklahoma,01/25/2020,1830,01/18/2020,17291,1565634,1.10
Oklahoma,02/01/2020,1779,01/25/2020,17451,1565634,1.11
Oklahoma,02/08/2020,1715,02/01/2020,17757,1565634,1.13
Oklahoma,02/15/2020,1633,02/08/2020,17513,1565634,1.12
Oklahoma,02/22/2020,1509,02/15/2020,17269,1565634,1.10
Oklahoma,02/29/2020,1458,02/22/2020,16929,1565634,1.08
Oklahoma,03/07/2020,1569,02/29/2020,17067,1565634,1.09
Oklahoma,03/14/2020,1836,03/07/2020,16482,1565634,1.05
Oklahoma,03/21/2020,21926,03/14/2020,16854,1565634,1.08
Oklahoma,03/28/2020,47744,03/21/2020,25268,1565634,1.61
Oklahoma,04/04/2020,60534,03/28/2020,55029,1565634,3.51
Oklahoma,04/11/2020,54481,04/04/2020,88330,1568967,5.63
Oklahoma,04/18/2020,46696,04/11/2020,112311,1568967,7.16
Oklahoma,04/25/2020,52500,04/18/2020,134550,1568967,8.58
Oregon,01/04/2020,6714,12/28/2019,35451,1898680,1.87
Oregon,01/11/2020,6215,01/04/2020,36039,1906429,1.89
Oregon,01/18/2020,4051,01/11/2020,31604,1906429,1.66
Oregon,01/25/2020,4457,01/18/2020,32306,1906429,1.69
Oregon,02/01/2020,4853,01/25/2020,31876,1906429,1.67
Oregon,02/08/2020,4953,02/01/2020,31658,1906429,1.66
Oregon,02/15/2020,4284,02/08/2020,31167,1906429,1.63
Oregon,02/22/2020,3514,02/15/2020,30548,1906429,1.60
Oregon,02/29/2020,3936,02/22/2020,30165,1906429,1.58
Oregon,03/07/2020,4154,02/29/2020,29517,1906429,1.55
Oregon,03/14/2020,4269,03/07/2020,29002,1906429,1.52
Oregon,03/21/2020,30054,03/14/2020,30523,1906429,1.60
Oregon,03/28/2020,47498,03/21/2020,63930,1906429,3.35
Oregon,04/04/2020,62788,03/28/2020,118729,1906429,6.23
Oregon,04/11/2020,54581,04/04/2020,176154,1914153,9.20
Oregon,04/18/2020,37209,04/11/2020,217039,1914153,11.34
Oregon,04/25/2020,49300,04/18/2020,284486,1914153,14.86
Pennsylvania,01/04/2020,27298,12/28/2019,135411,5787653,2.34
Pennsylvania,01/11/2020,26356,01/04/2020,163882,5800562,2.83
Pennsylvania,01/18/2020,16218,01/11/2020,142326,5800562,2.45
Pennsylvania,01/25/2020,13359,01/18/2020,140027,5800562,2.41
Pennsylvania,02/01/2020,15893,01/25/2020,135951,5800562,2.34
Pennsylvania,02/08/2020,14425,02/01/2020,142004,5800562,2.45
Pennsylvania,02/15/2020,13583,02/08/2020,136149,5800562,2.35
Pennsylvania,02/22/2020,12631,02/15/2020,142306,5800562,2.45
Pennsylvania,02/29/2020,12045,02/22/2020,135095,5800562,2.33
Pennsylvania,03/07/2020,12227,02/29/2020,136931,5800562,2.36
Pennsylvania,03/14/2020,15439,03/07/2020,128842,5800562,2.22
Pennsylvania,03/21/2020,377451,03/14/2020,128029,5800562,2.21
Pennsylvania,03/28/2020,404677,03/21/2020,135708,5800562,2.34
Pennsylvania,04/04/2020,277640,03/28/2020,566464,5800562,9.77
Pennsylvania,04/11/2020,234868,04/04/2020,614196,5814461,10.56
Pennsylvania,04/18/2020,194594,04/11/2020,1074660,5814461,18.48
Pennsylvania,04/25/2020,127896,04/18/2020,915249,5814461,15.74
Puerto Rico,01/04/2020,853,12/28/2019,17194,848044,2.03
Puerto Rico,01/11/2020,836,01/04/2020,15746,852292,1.85
Puerto Rico,01/18/2020,3124,01/11/2020,22291,852292,2.62
Puerto Rico,01/25/2020,2335,01/18/2020,22725,852292,2.67
Puerto Rico,02/01/2020,1998,01/25/2020,23857,852292,2.80
Puerto Rico,02/08/2020,1770,02/01/2020,23157,852292,2.72
Puerto Rico,02/15/2020,1588,02/08/2020,21114,852292,2.48
Puerto Rico,02/22/2020,1390,02/15/2020,20765,852292,2.44
Puerto Rico,02/29/2020,1296,02/22/2020,19480,852292,2.29
Puerto Rico,03/07/2020,1343,02/29/2020,18657,852292,2.19
Puerto Rico,03/14/2020,1172,03/07/2020,18704,852292,2.19
Puerto Rico,03/21/2020,20148,03/14/2020,15239,852292,1.79
Puerto Rico,03/28/2020,45394,03/21/2020,19230,852292,2.26
Puerto Rico,04/04/2020,66555,03/28/2020,49669,852292,5.83
Puerto Rico,04/11/2020,42074,04/04/2020,86474,856124,10.10
Puerto Rico,04/18/2020,26481,04/11/2020,109672,856124,12.81
Puerto Rico,04/25/2020,17286,04/18/2020,153421,856124,17.92
Rhode Island,01/04/2020,1972,12/28/2019,12109,471911,2.57
Rhode Island,01/11/2020,1817,01/04/2020,12299,472874,2.60
Rhode Island,01/18/2020,1194,01/11/2020,10987,472874,2.32
Rhode Island,01/25/2020,1048,01/18/2020,10750,472874,2.27
Rhode Island,02/01/2020,971,01/25/2020,11042,472874,2.34
Rhode Island,02/08/2020,959,02/01/2020,11051,472874,2.34
Rhode Island,02/15/2020,996,02/08/2020,11164,472874,2.36
Rhode Island,02/22/2020,1921,02/15/2020,11199,472874,2.37
Rhode Island,02/29/2020,874,02/22/2020,12384,472874,2.62
Rhode Island,03/07/2020,700,02/29/2020,11130,472874,2.35
Rhode Island,03/14/2020,1108,03/07/2020,10692,472874,2.26
Rhode Island,03/21/2020,35847,03/14/2020,10857,472874,2.30
Rhode Island,03/28/2020,27800,03/21/2020,31847,472874,6.73
Rhode Island,04/04/2020,28243,03/28/2020,56038,472874,11.85
Rhode Island,04/11/2020,22509,04/04/2020,70935,473597,14.98
Rhode Island,04/18/2020,18078,04/11/2020,79140,473597,16.71
Rhode Island,04/25/2020,13084,04/18/2020,96663,473597,20.41
South Carolina,01/04/2020,7471,12/28/2019,18922,2070232,0.91
South Carolina,01/11/2020,4629,01/04/2020,21587,2077535,1.04
South Carolina,01/18/2020,3126,01/11/2020,18780,2077535,0.90
South Carolina,01/25/2020,2248,01/18/2020,17113,2077535,0.82
South Carolina,02/01/2020,2099,01/25/2020,17061,2077535,0.82
South Carolina,02/08/2020,2054,02/01/2020,16669,2077535,0.80
South Carolina,02/15/2020,2088,02/08/2020,16547,2077535,0.80
South Carolina,02/22/2020,1824,02/15/2020,16239,2077535,0.78
South Carolina,02/29/2020,1977,02/22/2020,15779,2077535,0.76
South Carolina,03/07/2020,1889,02/29/2020,15341,2077535,0.74
South Carolina,03/14/2020,2093,03/07/2020,15032,2077535,0.72
South Carolina,03/21/2020,31826,03/14/2020,15111,2077535,0.73
South Carolina,03/28/2020,66475,03/21/2020,30341,2077535,1.46
South Carolina,04/04/2020,86573,03/28/2020,75521,2077535,3.64
South Carolina,04/11/2020,89147,04/04/2020,126994,2087060,6.08
South Carolina,04/18/2020,74362,04/11/2020,179769,2087060,8.61
South Carolina,04/25/2020,66438,04/18/2020,240956,2087060,11.55
South Dakota,01/04/2020,398,12/28/2019,2798,416296,0.67
South Dakota,01/11/2020,468,01/04/2020,2970,417030,0.71
South Dakota,01/18/2020,338,01/11/2020,2995,417030,0.72
South Dakota,01/25/2020,291,01/18/2020,3071,417030,0.74
South Dakota,02/01/2020,217,01/25/2020,3155,417030,0.76
South Dakota,02/08/2020,223,02/01/2020,3117,417030,0.75
South Dakota,02/15/2020,194,02/08/2020,3196,417030,0.77
South Dakota,02/22/2020,191,02/15/2020,3164,417030,0.76
South Dakota,02/29/2020,159,02/22/2020,3116,417030,0.75
South Dakota,03/07/2020,185,02/29/2020,3059,417030,0.73
South Dakota,03/14/2020,190,03/07/2020,2870,417030,0.69
South Dakota,03/21/2020,1761,03/14/2020,2674,417030,0.64
South Dakota,03/28/2020,6801,03/21/2020,3538,417030,0.85
South Dakota,04/04/2020,8138,03/28/2020,7568,417030,1.81
South Dakota,04/11/2020,6359,04/04/2020,14431,417997,3.45
South Dakota,04/18/2020,5295,04/11/2020,19664,417997,4.70
South Dakota,04/25/2020,5535,04/18/2020,22707,417997,5.43
Tennessee,01/04/2020,3084,12/28/2019,22163,3250062,0.68
Tennessee,01/11/2020,3711,01/04/2020,22398,3263988,0.69
Tennessee,01/18/2020,3093,01/11/2020,20441,3263988,0.63
Tennessee,01/25/2020,2484,01/18/2020,20786,3263988,0.64
Tennessee,02/01/2020,2362,01/25/2020,21364,3263988,0.65
Tennessee,02/08/2020,2161,02/01/2020,20670,3263988,0.63
Tennessee,02/15/2020,2140,02/08/2020,20485,3263988,0.63
Tennessee,02/22/2020,1855,02/15/2020,20139,3263988,0.62
Tennessee,02/29/2020,2014,02/22/2020,20413,3263988,0.63
Tennessee,03/07/2020,2032,02/29/2020,19035,3263988,0.58
Tennessee,03/14/2020,2702,03/07/2020,18450,3263988,0.57
Tennessee,03/21/2020,38077,03/14/2020,18350,3263988,0.56
Tennessee,03/28/2020,92500,03/21/2020,37541,3263988,1.15
Tennessee,04/04/2020,112186,03/28/2020,116179,3263988,3.56
Tennessee,04/11/2020,71887,04/04/2020,206472,3278927,6.30
Tennessee,04/18/2020,67226,04/11/2020,279895,3278927,8.54
Tennessee,04/25/2020,42805,04/18/2020,341033,3278927,10.40
Texas,01/04/2020,12367,12/28/2019,141473,12168097,1.16
Texas,01/11/2020,21902,01/04/2020,140768,12236594,1.15
Texas,01/18/2020,15783,01/11/2020,145126,12236594,1.19
Texas,01/25/2020,13070,01/18/2020,132656,12236594,1.08
Texas,02/01/2020,13818,01/25/2020,140826,12236594,1.15
Texas,02/08/2020,13869,02/01/2020,128666,12236594,1.05
Texas,02/15/2020,12790,02/08/2020,133475,12236594,1.09
Texas,02/22/2020,12047,02/15/2020,127275,12236594,1.04
Texas,02/29/2020,12692,02/22/2020,133247,12236594,1.09
Texas,03/07/2020,14355,02/29/2020,125252,12236594,1.02
Texas,03/14/2020,16176,03/07/2020,127905,12236594,1.05
Texas,03/21/2020,155426,03/14/2020,126427,12236594,1.03
Texas,03/28/2020,276185,03/21/2020,144697,12236594,1.18
Texas,04/04/2020,315167,03/28/2020,374656,12236594,3.06
Texas,04/11/2020,274257,04/04/2020,632470,12304547,5.14
Texas,04/18/2020,280761,04/11/2020,911923,12304547,7.41
Texas,04/25/2020,254084,04/18/2020,962122,12304547,7.82
Utah,01/04/2020,1518,12/28/2019,11328,1454279,0.78
Utah,01/11/2020,1834,01/04/2020,11787,1459679,0.81
Utah,01/18/2020,1458,01/11/2020,12061,1459679,0.83
Utah,01/25/2020,1271,01/18/2020,12061,1459679,0.83
Utah,02/01/2020,1290,01/25/2020,11872,1459679,0.81
Utah,02/08/2020,1303,02/01/2020,12187,1459679,0.83
Utah,02/15/2020,1097,02/08/2020,12131,1459679,0.83
Utah,02/22/2020,1008,02/15/2020,11960,1459679,0.82
Utah,02/29/2020,885,02/22/2020,11451,1459679,0.78
Utah,03/07/2020,1015,02/29/2020,11077,1459679,0.76
Utah,03/14/2020,1305,03/07/2020,10701,1459679,0.73
Utah,03/21/2020,19690,03/14/2020,10826,1459679,0.74
Utah,03/28/2020,28532,03/21/2020,24635,1459679,1.69
Utah,04/04/2020,33040,03/28/2020,45161,1459679,3.09
Utah,04/11/2020,24515,04/04/2020,72798,1474336,4.94
Utah,04/18/2020,19649,04/11/2020,88281,1474336,5.99
Utah,04/25/2020,11738,04/18/2020,89495,1474336,6.07
Vermont,01/04/2020,680,12/28/2019,5417,303175,1.79
Vermont,01/11/2020,649,01/04/2020,5609,303508,1.85
Vermont,01/18/2020,755,01/11/2020,4961,303508,1.63
Vermont,01/25/2020,518,01/18/2020,4986,303508,1.64
Vermont,02/01/2020,481,01/25/2020,5006,303508,1.65
Vermont,02/08/2020,475,02/01/2020,4824,303508,1.59
Vermont,02/15/2020,543,02/08/2020,4931,303508,1.62
Vermont,02/22/2020,610,02/15/2020,4872,303508,1.61
Vermont,02/29/2020,863,02/22/2020,5039,303508,1.66
Vermont,03/07/2020,446,02/29/2020,5219,303508,1.72
Vermont,03/14/2020,659,03/07/2020,4896,303508,1.61
Vermont,03/21/2020,3784,03/14/2020,4810,303508,1.58
Vermont,03/28/2020,14633,03/21/2020,13797,303508,4.55
Vermont,04/04/2020,16474,03/28/2020,21953,303508,7.23
Vermont,04/11/2020,9662,04/04/2020,31204,303379,10.29
Vermont,04/18/2020,6598,04/11/2020,64313,303379,21.20
Vermont,04/25/2020,5117,04/18/2020,76457,303379,25.20
Virgin Islands,01/04/2020,10,12/28/2019,468,33306,1.41
Virgin Islands,01/11/2020,24,01/04/2020,534,34238,1.56
Virgin Islands,01/18/2020,40,01/11/2020,562,34238,1.64
Virgin Islands,01/25/2020,44,01/18/2020,552,34238,1.61
Virgin Islands,02/01/2020,35,01/25/2020,516,34238,1.51
Virgin Islands,02/08/2020,45,02/01/2020,522,34238,1.52
Virgin Islands,02/15/2020,40,02/08/2020,508,34238,1.48
Virgin Islands,02/22/2020,55,02/15/2020,508,34238,1.48
Virgin Islands,02/29/2020,37,02/22/2020,562,34238,1.64
Virgin Islands,03/07/2020,64,02/29/2020,586,34238,1.71
Virgin Islands,03/14/2020,44,03/07/2020,592,34238,1.73
Virgin Islands,03/21/2020,123,03/14/2020,584,34238,1.71
Virgin Islands,03/28/2020,250,03/21/2020,512,34238,1.50
Virgin Islands,04/04/2020,72,03/28/2020,658,34238,1.92
Virgin Islands,04/11/2020,6,04/04/2020,776,35422,2.19
Virgin Islands,04/18/2020,13,04/11/2020,1322,35422,3.73
Virgin Islands,04/25/2020,103,04/18/2020,1468,35422,4.14
Virginia,01/04/2020,3188,12/28/2019,22171,3722198,0.60
Virginia,01/11/2020,3643,01/04/2020,23577,3731069,0.63
Virginia,01/18/2020,2831,01/11/2020,22218,3731069,0.60
Virginia,01/25/2020,3059,01/18/2020,21661,3731069,0.58
Virginia,02/01/2020,2575,01/25/2020,22263,3731069,0.60
Virginia,02/08/2020,3097,02/01/2020,22049,3731069,0.59
Virginia,02/15/2020,2693,02/08/2020,22481,3731069,0.60
Virginia,02/22/2020,2079,02/15/2020,22493,3731069,0.60
Virginia,02/29/2020,3267,02/22/2020,22203,3731069,0.60
Virginia,03/07/2020,2527,02/29/2020,22714,3731069,0.61
Virginia,03/14/2020,2706,03/07/2020,21336,3731069,0.57
Virginia,03/21/2020,46277,03/14/2020,21628,3731069,0.58
Virginia,03/28/2020,112497,03/21/2020,41827,3731069,1.12
Virginia,04/04/2020,147369,03/28/2020,133184,3731069,3.57
Virginia,04/11/2020,104619,04/04/2020,236791,3731069,6.35
Virginia,04/18/2020,82729,04/11/2020,297993,3739821,7.97
Virginia,04/25/2020,72488,04/18/2020,341295,3739821,9.13
Washington,01/04/2020,10024,12/28/2019,70363,3317884,2.12
Washington,01/11/2020,9069,01/04/2020,70214,3333838,2.11
Washington,01/18/2020,9079,01/11/2020,65903,3333838,1.98
Washington,01/25/2020,8072,01/18/2020,67705,3333838,2.03
Washington,02/01/2020,6619,01/25/2020,65260,3333838,1.96
Washington,02/08/2020,7161,02/01/2020,64144,3333838,1.92
Washington,02/15/2020,6311,02/08/2020,61819,3333838,1.85
Washington,02/22/2020,5585,02/15/2020,59819,3333838,1.79
Washington,02/29/2020,5770,02/22/2020,58586,3333838,1.76
Washington,03/07/2020,6616,02/29/2020,56513,3333838,1.70
Washington,03/14/2020,14240,03/07/2020,55588,3333838,1.67
Washington,03/21/2020,129909,03/14/2020,62623,3333838,1.88
Washington,03/28/2020,182849,03/21/2020,158025,3333838,4.74
Washington,04/04/2020,171252,03/28/2020,309411,3333838,9.28
Washington,04/11/2020,144455,04/04/2020,442936,3351028,13.22
Washington,04/18/2020,83475,04/11/2020,535185,3351028,15.97
Washington,04/25/2020,139505,04/18/2020,573374,3351028,17.11
West Virginia,01/04/2020,1564,12/28/2019,15887,670192,2.37
West Virginia,01/11/2020,2638,01/04/2020,18026,670051,2.69
West Virginia,01/18/2020,1895,01/11/2020,17681,670051,2.64
West Virginia,01/25/2020,1290,01/18/2020,16745,670051,2.50
